Example Number,Gorgias Code,NL Translation
150,":- dynamic humid_day/0, client_feedback/0, family_gathering/0
rule(r1, explore_city, []) :- humid_day.
rule(r2, cook_dinner, []) :- humid_day.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- client_feedback.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- family_gathering.
rule(c3, prefer(c2, c1), []).
complement(cook_dinner, explore_city).
complement(explore_city, cook_dinner).","If it's a humid day, I can either explore the city or cook dinner. Usually, I choose to explore the city. However, if I receive feedback from a client, I cook dinner instead. If there's a family gathering, I go back to exploring the city. I can’t explore the city and cook dinner at the same time."
619,":- dynamic community_event/0.
rule(r1, host_dinner_party, []) :- community_event.
rule(r2, finish_report, []) :- community_event.
rule(p1, prefer(r1, r2), []).
complement(finish_report, host_dinner_party).
complement(host_dinner_party, finish_report).","If there is a community event, I can either host a dinner party or finish a report. Usually, I choose to host a dinner party. I can’t finish the report and host the dinner party at the same time."
60,":- dynamic client_feedback/0, party_invitation/0, wedding_anniversary/0.
rule(r1, book_flight, []) :- client_feedback.
rule(r2, attend_workshop, []) :- party_invitation.
rule(p1, prefer(r1, r2), []) :- client_feedback, party_invitation.
rule(p2, prefer(r2, r1), []) :- client_feedback, party_invitation, wedding_anniversary.
rule(c1, prefer(p2, p1), []).
complement(attend_workshop, book_flight).
complement(book_flight, attend_workshop).","If I receive client feedback, I book a flight. If I get a party invitation, I attend a workshop. But if I have both client feedback and a party invitation, I usually book a flight. However, if it’s also my wedding anniversary, I attend the workshop instead. I can’t book a flight and attend a workshop at the same time."
287,":- dynamic client_feedback/0, wedding_anniversary/0, rainy_day/0
rule(r1, visit_family, []) :- client_feedback.
rule(r2, drive_car, []) :- client_feedback.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- wedding_anniversary.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- rainy_day.
rule(c3, prefer(c2, c1), []).
complement(drive_car, visit_family).
complement(visit_family, drive_car).","If I receive client feedback, I can either visit family or drive the car. Generally, I choose to visit family. However, if it’s my wedding anniversary, I drive the car instead. If it’s a rainy day, I go back to visiting family. I can’t visit family and drive the car at the same time."
733,":- dynamic lunch_time/0, discount_on_flight/0, relationship_break/0, medical_appointment/0.
rule(r1, clean_house, []) :- lunch_time.
rule(r2, rent_car, []) :- discount_on_flight.
rule(p1, prefer(r1, r2), []) :- lunch_time, discount_on_flight.
rule(p2, prefer(r2, r1), []) :- lunch_time, discount_on_flight, relationship_break.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- medical_appointment.
rule(c3, prefer(c2, c1), []).
complement(rent_car, clean_house).
complement(clean_house, rent_car).","If it's lunchtime, I clean the house. If there’s a discount on a flight, I rent a car. But if it’s both lunchtime and there’s a discount on a flight, I usually clean the house. However, if I’m also dealing with a relationship break, I prefer to rent a car instead. If I have a medical appointment, I usually clean the house. But if I have a medical appointment and I’m also dealing with a relationship break, I tend to rent a car. I can’t clean the house and rent a car at the same time."
22,":- dynamic humid_day/0, early_morning/0, subscription_due/0, hail_storm/0, networking_event/0.
rule(r1, prepare_report, []) :- humid_day.
rule(r2, use_subway, []) :- early_morning.
rule(p1, prefer(r1, r2), []) :- humid_day, early_morning.
rule(p2, prefer(r2, r1), []) :- humid_day, early_morning, subscription_due.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- hail_storm.
rule(c3, prefer(c2, c1), []).
rule(c4, prefer(c1, c2), []) :- networking_event.
rule(c5, prefer(c4, c3), []).
complement(use_subway, prepare_report).
complement(prepare_report, use_subway).","If it's a humid day, I prepare a report. If it's early morning, I use the subway. But if it's both a humid day and early morning, I usually prepare the report. If my subscription is due as well, I choose to use the subway instead. However, if there's a hail storm, I tend to prepare the report. If there's a networking event, I prefer to use the subway. I can't prepare a report and use the subway at the same time."
280,":- dynamic concert_nearby/0, expensive_event/0
rule(r1, book_ride_share, []) :- concert_nearby.
rule(r2, visit_doctor, []) :- concert_nearby.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- expensive_event.
rule(c1, prefer(p2, p1), []).
complement(visit_doctor, book_ride_share).
complement(book_ride_share, visit_doctor).","If there is a concert nearby, I can either book a ride share or visit the doctor. Usually, I choose to book a ride share. However, if the event is expensive, I visit the doctor instead. I can’t book a ride share and visit the doctor at the same time."
306,":- dynamic job_interview/0
rule(r1, take_picnic, []).
rule(r2, rent_car, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- job_interview.
rule(c1, prefer(p2, p1), []).
complement(rent_car, take_picnic).
complement(take_picnic, rent_car).","I can either take a picnic or rent a car. Usually, I prefer to take a picnic. However, if I have a job interview, I choose to rent a car instead. I can’t take a picnic and rent a car at the same time."
7,":- dynamic unexpected_guest/0, community_event/0, networking_event/0
rule(r1, go_shopping, []) :- unexpected_guest.
rule(r2, buy_groceries, []) :- unexpected_guest.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- community_event.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- networking_event.
rule(c3, prefer(c2, c1), []).
complement(buy_groceries, go_shopping).
complement(go_shopping, buy_groceries).","If I have an unexpected guest, I can either go shopping or buy groceries. Usually, I choose to go shopping. However, if there is a community event, I buy groceries instead. If there is a networking event, I go back to choosing to go shopping. I can’t go shopping and buy groceries at the same time."
257,":- dynamic .
rule(r1, attend_concert, []).
rule(r2, schedule_meeting, []).
rule(p1, prefer(r1, r2), []).
complement(schedule_meeting, attend_concert).
complement(attend_concert, schedule_meeting).","I can either attend the concert or schedule a meeting. Usually, I choose to attend the concert. I can’t attend the concert and schedule a meeting at the same time."
57,":- dynamic invitation_from_friend/0, family_emergency/0, relationship_break/0.
rule(r1, make_coffee, []) :- invitation_from_friend.
rule(r2, yoga_session, []) :- family_emergency.
rule(p1, prefer(r1, r2), []) :- invitation_from_friend, family_emergency.
rule(p2, prefer(r2, r1), []) :- invitation_from_friend, family_emergency, relationship_break.
rule(c1, prefer(p2, p1), []).
complement(yoga_session, make_coffee).
complement(make_coffee, yoga_session).","If I receive an invitation from a friend, I make coffee. If there is a family emergency, I attend a yoga session. But if I have both an invitation from a friend and a family emergency, I usually make coffee. However, if I also experience a relationship break, I choose to attend the yoga session instead. I can’t make coffee and attend a yoga session at the same time."
858,":- dynamic snowstorm/0, humid_day/0
rule(r1, take_picnic, []) :- snowstorm.
rule(r2, go_to_bar, []) :- snowstorm.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- humid_day.
rule(c1, prefer(p2, p1), []).
complement(go_to_bar, take_picnic).
complement(take_picnic, go_to_bar).","If there is a snowstorm, I can either take a picnic or go to the bar. Usually, I choose to take a picnic. However, if it's a humid day, I go to the bar instead. I can’t take a picnic and go to the bar at the same time."
625,":- dynamic snowstorm/0, new_neighbor/0
rule(r1, schedule_meeting, []) :- snowstorm.
rule(r2, morning_run, []) :- snowstorm.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- new_neighbor.
rule(c1, prefer(p2, p1), []).
complement(morning_run, schedule_meeting).
complement(schedule_meeting, morning_run).","If there is a snowstorm, I can either schedule a meeting or go for a morning run. Usually, I choose to schedule a meeting. However, if I have a new neighbor, I go for a morning run instead. I can’t schedule a meeting and go for a morning run at the same time."
917,":- dynamic , dusk/0, community_event/0
rule(r1, update_project_plan, []).
rule(r2, join_fitness_class, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- dusk.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- community_event.
rule(c3, prefer(c2, c1), []).
complement(join_fitness_class, update_project_plan).
complement(update_project_plan, join_fitness_class).","I can either update the project plan or join a fitness class. Usually, I prefer to update the project plan. However, if it's dusk, I choose to join the fitness class instead. If there's a community event, I tend to update the project plan. I can’t update the project plan and join the fitness class at the same time."
90,":- dynamic school_reunion/0.
rule(r1, schedule_meeting, []) :- school_reunion.
rule(r2, yoga_session, []) :- school_reunion.
rule(p1, prefer(r1, r2), []).
complement(yoga_session, schedule_meeting).
complement(schedule_meeting, yoga_session).","If there is a school reunion, I can either schedule a meeting or attend a yoga session. Usually, I choose to schedule a meeting. I can’t schedule a meeting and attend a yoga session at the same time."
251,":- dynamic holiday_season/0, rainy_day/0, financial_aid/0.
rule(r1, ride_bike, []) :- holiday_season.
rule(r2, go_to_park, []) :- rainy_day.
rule(p1, prefer(r1, r2), []) :- holiday_season, rainy_day.
rule(p2, prefer(r2, r1), []) :- holiday_season, rainy_day, financial_aid.
rule(c1, prefer(p2, p1), []).
complement(go_to_park, ride_bike).
complement(ride_bike, go_to_park).","If it's the holiday season, I ride my bike. If it's a rainy day, I go to the park. But if it’s both the holiday season and a rainy day, I usually ride my bike. However, if I also have financial aid, I choose to go to the park instead. I can’t ride my bike and go to the park at the same time."
713,":- dynamic night_time/0.
rule(r1, ride_bike, []) :- night_time.
rule(r2, call_client, []) :- night_time.
rule(p1, prefer(r1, r2), []).
complement(call_client, ride_bike).
complement(ride_bike, call_client).","If it's night time, I can either ride my bike or call a client. Generally, I choose to ride my bike. I can’t ride my bike and call a client at the same time."
945,":- dynamic rainy_day/0, friend_in_town/0
rule(r1, use_subway, []) :- rainy_day.
rule(r2, take_train, []) :- rainy_day.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- friend_in_town.
rule(c1, prefer(p2, p1), []).
complement(take_train, use_subway).
complement(use_subway, take_train).","If it’s a rainy day, I can either use the subway or take the train. Usually, I choose to use the subway. However, if a friend is in town, I take the train instead. I can’t use the subway and take the train at the same time."
798,":- dynamic , team_project_due/0, new_neighbor/0
rule(r1, cycling_session, []).
rule(r2, go_to_theater, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- team_project_due.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- new_neighbor.
rule(c3, prefer(c2, c1), []).
complement(go_to_theater, cycling_session).
complement(cycling_session, go_to_theater).","I can either go to a cycling session or to the theater. Usually, I prefer to go to the cycling session. However, if there’s a team project due, I choose to go to the theater instead. If I have a new neighbor, I usually go to the cycling session. I can’t go to the theater and the cycling session at the same time."
293,":- dynamic expensive_event/0, holiday_season/0, vacation_planned/0, early_morning/0, project_extension/0.
rule(r1, join_fitness_class, []) :- expensive_event.
rule(r2, book_ride_share, []) :- holiday_season.
rule(p1, prefer(r1, r2), []) :- expensive_event, holiday_season.
rule(p2, prefer(r2, r1), []) :- expensive_event, holiday_season, vacation_planned.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- early_morning.
rule(c3, prefer(c2, c1), []).
rule(c4, prefer(c1, c2), []) :- project_extension.
rule(c5, prefer(c4, c3), []).
complement(book_ride_share, join_fitness_class).
complement(join_fitness_class, book_ride_share).","If there is an expensive event, I join a fitness class. If it’s the holiday season, I book a ride share. But if it’s both an expensive event and the holiday season, I usually join the fitness class. However, if I also have a vacation planned, I book a ride share instead. If it’s early morning, I tend to join the fitness class. But if I have a project extension, I go back to booking a ride share. I can’t join a fitness class and book a ride share at the same time."
651,":- dynamic .
rule(r1, attend_concert, []).
rule(r2, explore_city, []).
rule(p1, prefer(r1, r2), []).
complement(explore_city, attend_concert).
complement(attend_concert, explore_city).","I can either attend the concert or explore the city. Usually, I choose to attend the concert. I can’t attend the concert and explore the city at the same time."
385,":- dynamic humid_day/0, important_meeting/0, job_interview/0
rule(r1, go_to_cinema, []) :- humid_day.
rule(r2, buy_groceries, []) :- humid_day.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- important_meeting.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- job_interview.
rule(c3, prefer(c2, c1), []).
complement(buy_groceries, go_to_cinema).
complement(go_to_cinema, buy_groceries).","If it's a humid day, I can either go to the cinema or buy groceries. Usually, I choose to go to the cinema. However, if I have an important meeting, I buy groceries instead. If I have a job interview, I go back to choosing to go to the cinema. I can’t go to the cinema and buy groceries at the same time."
698,":- dynamic , important_meeting/0, deadline_missed/0
rule(r1, go_to_bar, []).
rule(r2, take_picnic, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- important_meeting.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- deadline_missed.
rule(c3, prefer(c2, c1), []).
complement(take_picnic, go_to_bar).
complement(go_to_bar, take_picnic).","I can either go to the bar or take a picnic. Usually, I prefer to go to the bar. However, if there’s an important meeting, I choose to take a picnic instead. If I miss a deadline, I usually go to the bar. I can’t go to the bar and take a picnic at the same time."
209,":- dynamic afternoon/0, invitation_from_friend/0
rule(r1, book_flight, []) :- afternoon.
rule(r2, pay_bills, []) :- afternoon.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- invitation_from_friend.
rule(c1, prefer(p2, p1), []).
complement(pay_bills, book_flight).
complement(book_flight, pay_bills).","If it's the afternoon, I can either book a flight or pay the bills. Usually, I choose to book a flight. However, if a friend invites me, I pay the bills instead. I can’t book a flight and pay the bills at the same time."
769,":- dynamic , afternoon/0, financial_aid/0
rule(r1, yoga_session, []).
rule(r2, clean_house, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- afternoon.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- financial_aid.
rule(c3, prefer(c2, c1), []).
complement(clean_house, yoga_session).
complement(yoga_session, clean_house).","I can either do a yoga session or clean the house. Usually, I choose to do a yoga session. However, if it's the afternoon, I go back to cleaning the house instead. If I have financial aid, I tend to do a yoga session. I can’t do a yoga session and clean the house at the same time."
496,":- dynamic important_meeting/0
rule(r1, go_to_restaurant, []).
rule(r2, visit_doctor, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- important_meeting.
rule(c1, prefer(p2, p1), []).
complement(visit_doctor, go_to_restaurant).
complement(go_to_restaurant, visit_doctor).","I can either go to the restaurant or visit the doctor. Usually, I choose to go to the restaurant. However, if I have an important meeting, I go to visit the doctor instead. I can’t go to the restaurant and visit the doctor at the same time."
147,":- dynamic afternoon/0.
rule(r1, visit_museum, []) :- afternoon.
rule(r2, book_flight, []) :- afternoon.
rule(p1, prefer(r1, r2), []).
complement(book_flight, visit_museum).
complement(visit_museum, book_flight).","If it's the afternoon, I can either visit the museum or book a flight. Usually, I choose to visit the museum. I can’t visit the museum and book a flight at the same time."
675,":- dynamic , school_reunion/0, community_event/0
rule(r1, cook_dinner, []).
rule(r2, swim_session, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- school_reunion.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- community_event.
rule(c3, prefer(c2, c1), []).
complement(swim_session, cook_dinner).
complement(cook_dinner, swim_session).","I can either cook dinner or go to a swim session. Usually, I choose to cook dinner. However, if there’s a school reunion, I go to the swim session instead. If there’s a community event, I tend to cook dinner. I can’t cook dinner and go to the swim session at the same time."
152,":- dynamic .
rule(r1, visit_doctor, []).
rule(r2, use_subway, []).
rule(p1, prefer(r1, r2), []).
complement(use_subway, visit_doctor).
complement(visit_doctor, use_subway).","I can either visit the doctor or use the subway. Usually, I choose to visit the doctor. I can’t visit the doctor and use the subway at the same time."
990,":- dynamic new_restaurant_to_try/0, family_emergency/0
rule(r1, order_taxi, []) :- new_restaurant_to_try.
rule(r2, review_documents, []) :- new_restaurant_to_try.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- family_emergency.
rule(c1, prefer(p2, p1), []).
complement(review_documents, order_taxi).
complement(order_taxi, review_documents).","If there’s a new restaurant to try, I can either order a taxi or review documents. Usually, I choose to order a taxi. However, if there’s a family emergency, I review documents instead. I can’t order a taxi and review documents at the same time."
898,":- dynamic low_budget/0, afternoon/0, moving_house/0.
rule(r1, plan_meals, []) :- low_budget.
rule(r2, go_to_restaurant, []) :- afternoon.
rule(p1, prefer(r1, r2), []) :- low_budget, afternoon.
rule(p2, prefer(r2, r1), []) :- low_budget, afternoon, moving_house.
rule(c1, prefer(p2, p1), []).
complement(go_to_restaurant, plan_meals).
complement(plan_meals, go_to_restaurant).","If I have a low budget, I plan my meals. If it’s afternoon, I go to a restaurant. But if it’s both a low budget and afternoon, I usually plan my meals. However, if I am also moving house, I go to a restaurant instead. I can’t plan my meals and go to a restaurant at the same time."
231,":- dynamic important_meeting/0, rainy_day/0, humid_day/0, moving_house/0, unexpected_expense/0.
rule(r1, read_book, []) :- important_meeting.
rule(r2, attend_workshop, []) :- rainy_day.
rule(p1, prefer(r1, r2), []) :- important_meeting, rainy_day.
rule(p2, prefer(r2, r1), []) :- important_meeting, rainy_day, humid_day.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- moving_house.
rule(c3, prefer(c2, c1), []).
rule(c4, prefer(c1, c2), []) :- unexpected_expense.
rule(c5, prefer(c4, c3), []).
complement(attend_workshop, read_book).
complement(read_book, attend_workshop).","If I have an important meeting, I read a book. If it's a rainy day, I attend a workshop. But if it's both a rainy day and I have an important meeting, I usually read a book. If it's also a humid day, I attend the workshop instead. However, if I am moving house, I tend to read a book. If I have an unexpected expense, I prefer to attend the workshop. I can’t read a book and attend a workshop at the same time."
47,":- dynamic .
rule(r1, go_to_restaurant, []).
rule(r2, water_plants, []).
rule(p1, prefer(r1, r2), []).
complement(water_plants, go_to_restaurant).
complement(go_to_restaurant, water_plants).","I can either go to the restaurant or water the plants. Usually, I choose to go to the restaurant. I can’t go to the restaurant and water the plants at the same time."
118,":- dynamic client_feedback/0, wedding_anniversary/0
rule(r1, attend_meeting, []) :- client_feedback.
rule(r2, buy_groceries, []) :- client_feedback.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- wedding_anniversary.
rule(c1, prefer(p2, p1), []).
complement(buy_groceries, attend_meeting).
complement(attend_meeting, buy_groceries).","If I receive client feedback, I can either attend a meeting or buy groceries. Usually, I choose to attend the meeting. However, if it’s my wedding anniversary, I buy groceries instead. I can’t attend a meeting and buy groceries at the same time."
35,":- dynamic subscription_due/0, low_budget/0, family_gathering/0
rule(r1, go_to_restaurant, []) :- subscription_due.
rule(r2, schedule_meeting, []) :- subscription_due.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- low_budget.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- family_gathering.
rule(c3, prefer(c2, c1), []).
complement(schedule_meeting, go_to_restaurant).
complement(go_to_restaurant, schedule_meeting).","If my subscription is due, I can either go to a restaurant or schedule a meeting. Usually, I choose to go to the restaurant. However, if I'm on a low budget, I schedule the meeting instead. If there's a family gathering, I go back to choosing the restaurant. I can’t go to the restaurant and schedule a meeting at the same time."
4,":- dynamic holiday_season/0, medical_appointment/0, family_emergency/0, invitation_from_friend/0, friend_in_town/0.
rule(r1, yoga_session, []) :- holiday_season.
rule(r2, morning_run, []) :- medical_appointment.
rule(p1, prefer(r1, r2), []) :- holiday_season, medical_appointment.
rule(p2, prefer(r2, r1), []) :- holiday_season, medical_appointment, family_emergency.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- invitation_from_friend.
rule(c3, prefer(c2, c1), []).
rule(c4, prefer(c1, c2), []) :- friend_in_town.
rule(c5, prefer(c4, c3), []).
complement(morning_run, yoga_session).
complement(yoga_session, morning_run).","If it's the holiday season, I have a yoga session. If I have a medical appointment, I go for a morning run. But if it's both the holiday season and I have a medical appointment, I usually have a yoga session. However, if there's also a family emergency, I go for a morning run instead. If I receive an invitation from a friend, I tend to go for a morning run. If a friend is in town, I prefer to have a yoga session. But if I have both a friend in town and an invitation from a friend, I usually go for a morning run. I can’t have a yoga session and go for a morning run at the same time."
714,":- dynamic project_extension/0.
rule(r1, schedule_meeting, []) :- project_extension.
rule(r2, dispose_trash, []) :- project_extension.
rule(p1, prefer(r1, r2), []).
complement(dispose_trash, schedule_meeting).
complement(schedule_meeting, dispose_trash).","If there is a project extension, I can either schedule a meeting or dispose of the trash. Generally, I choose to schedule a meeting. I can’t schedule a meeting and dispose of the trash at the same time."
718,":- dynamic unexpected_expense/0, urgent_deadline/0, extended_work_hours/0, invitation_from_friend/0.
rule(r1, organize_workspace, []) :- unexpected_expense.
rule(r2, attend_meeting, []) :- urgent_deadline.
rule(p1, prefer(r1, r2), []) :- unexpected_expense, urgent_deadline.
rule(p2, prefer(r2, r1), []) :- unexpected_expense, urgent_deadline, extended_work_hours.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- invitation_from_friend.
rule(c3, prefer(c2, c1), []).
complement(attend_meeting, organize_workspace).
complement(organize_workspace, attend_meeting).","If I have an unexpected expense, I organize my workspace. If there is an urgent deadline, I attend a meeting. But if I have both an unexpected expense and an urgent deadline, I usually organize my workspace. However, if I also have extended work hours, I attend the meeting instead. If I get an invitation from a friend, I tend to organize my workspace. I can’t organize my workspace and attend a meeting at the same time."
